SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS4809","http://www.inventorysource.com/images/gs/GS4809.jpg","Rifle Cartidge Slide, Black","2",Yes,"<b>Cordura Rifle Cartridge Slide Black - </b><br>Manufacture ID: 88411<br><br>Handy cartridge slides put extra ammo at your fingertips. Fit all belts up to 2 1/4"". Shell loops made of sturdy elastic, sewn to tough nylon web backing. Handgun slide holds 6 cartridges, rifle holds 10 cartridges.<br><br>Warranty: Limited lifetime warranty.","16.95","9.36","Uncle Mikes","88411","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS4809.jpg","0.25","0.00","16.95","043699884117","","","Cordura Rifle Cartridge Slide Black -   Manufacture ID: 88411    Handy cartridge slides put extra ammo at your fingertips. Fit all belts up to 2 1/4"". Shell loops made of sturdy elastic, sewn to tough nylon web backing. Handgun slide holds 6 cartridges, rifle holds 10 cartridges.    Warranty: Limited lifetime warranty.",
"GS12747","http://www.inventorysource.com/images/gs/GS12747.jpg","Rifle Butt Stock Shellholder/Loop","9",Yes,"<b>Butt Stock Shell Holder - Rifle w/ Flap Black</b><br>Manufacture ID: 88482<br><br>Quick access to extra cartridges plus protection form weather and snagging. Flaps folds up from bottom and is secured by Velcro. Elastic sleeve slips over stock or rifle or shotgun. Sewn-on elastic loops. Rifle model holds 6 cartridges, also can be used to hold choke tubes. Black Cordura Nylon.<br><br>Warranty: Limited lifetime warranty.","16.95","9.36","Uncle Mikes","88482","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS12747.jpg","0.2","0.00","16.95","043699884827","","","Butt Stock Shell Holder - Rifle w/ Flap Black  Manufacture ID: 88482    Quick access to extra cartridges plus protection form weather and snagging. Flaps folds up from bottom and is secured by Velcro. Elastic sleeve slips over stock or rifle or shotgun. Sewn-on elastic loops. Rifle model holds 6 cartridges, also can be used to hold choke tubes. Black Cordura Nylon.    Warranty: Limited lifetime wa",
"GS4811","http://www.inventorysource.com/images/gs/GS4811.jpg","Handgun Cartridge Slide, Black","8",Yes,"<b>Cordura Cartridge Carrier, Black - Handgun Cartridge Slide</b><br>Manufacture ID: 88401<br><br>Handy cartridge slides put extra ammo at your fingertips. Fit all belts up to 2 1/4"". Shell loops made of sturdy elastic, sewn to tough nylon web backing. Handgun slide holds 6 cartridges, rifle holds 10 cartridges.<br><br>Warranty: Limited lifetime warranty.","13.95","7.49","Uncle Mikes","88401","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS4811.jpg","0.25","0.00","13.95","043699884018","","","Cordura Cartridge Carrier, Black - Handgun Cartridge Slide  Manufacture ID: 88401    Handy cartridge slides put extra ammo at your fingertips. Fit all belts up to 2 1/4"". Shell loops made of sturdy elastic, sewn to tough nylon web backing. Handgun slide holds 6 cartridges, rifle holds 10 cartridges.    Warranty: Limited lifetime warranty.",
"GS6626","http://www.inventorysource.com/images/gs/GS6626.jpg","Shotshell Cartridge Belt Black","9",Yes,"<b>Cartridge Belt - Shotgun Nylon Web Black</b><br>Manufacture ID: 88051<br><br>Quick access to extra rounds contained in elastic cartridge loops. Tough 2-inch black nylon web with flip-open buckle; fits up to 50"" waist. Shotgun Cartridge Belt (25 Loops).<br><br>Warranty: Limited lifetime warranty.","21.95","12.49","Uncle Mikes","88051","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS6626.jpg","0.3","0.00","21.95","043699880515","","","Cartridge Belt - Shotgun Nylon Web Black  Manufacture ID: 88051    Quick access to extra rounds contained in elastic cartridge loops. Tough 2-inch black nylon web with flip-open buckle; fits up to 50"" waist. Shotgun Cartridge Belt (25 Loops).    Warranty: Limited lifetime warranty.",
"GS4813","http://www.inventorysource.com/images/gs/GS4813.jpg","Folding Rifle Cartidge, Black","6",Yes,"<b>Cordura Cartridge Carrier, Black - Folding Rifle 10 Loop</b><br>Manufacture ID: 88451<br><br>Keeps ammunition dry, protected and out of sight. Lift Velcro-secured flap and carrier folds down. Fits all belts up to 2 1/4"". Handgun carrier holds 12 cartridges, rifle carrier holds 10 cartridges. Black Cordura Nylon.<br><br>Warranty: Limited lifetime warranty.","18.95","10.6","Uncle Mikes","88451","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS4813.jpg","0.25","0.00","18.95","043699884513","","","Cordura Cartridge Carrier, Black - Folding Rifle 10 Loop  Manufacture ID: 88451    Keeps ammunition dry, protected and out of sight. Lift Velcro-secured flap and carrier folds down. Fits all belts up to 2 1/4"". Handgun carrier holds 12 cartridges, rifle carrier holds 10 cartridges. Black Cordura Nylon.    Warranty: Limited lifetime warranty.",
"GS43955","http://www.inventorysource.com/images/gs/GS43955.jpg","Buttstock Holder - 5 Shotgun Sh","0",Yes,"<b>Buttstock Holder - Holds 5 Shotgun Shells</b><br>Manufacture ID: 205<br><br>Holds 5 shotgun shells","5.95","2.61","Allen Cases","205","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS43955.jpg","0.1","0.00","5.95","026509002055","","","Buttstock Holder - Holds 5 Shotgun Shells  Manufacture ID: 205    Holds 5 shotgun shells",
"GS43953","http://www.inventorysource.com/images/gs/GS43953.jpg","Shell Belt - 25 Shotgun Shells","101",Yes,"<b>Shell Belt - Shotgun Shell Belt (Holds 25 Shells), Black</b><br>Manufacture ID: 211<br><br>Fits waists up to 52","5.95","3.11","Allen Cases","211","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS43953.jpg","0.3","0.00","5.95","026509002116","","","Shell Belt - Shotgun Shell Belt (Holds 25 Shells), Black  Manufacture ID: 211    Fits waists up to 52",
"GS4806","http://www.inventorysource.com/images/gs/GS4806.jpg","Rifle Butt Stock Shell/holder","2",Yes,"<b>Butt Stock Shell Holder - Rifle - Open Style Black</b><br>Manufacture ID: 88481<br><br>Elastic sleeve slips over stock or rifle.  Sewn-on elastic loops keep ammo in place.  Rifle model holds 9 cartridges.<br><br>Warranty: Limited lifetime warranty.","10.95","6.27","Uncle Mikes","88481","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS4806.jpg","0.2","0.00","10.95","043699884810","","","Butt Stock Shell Holder - Rifle - Open Style Black  Manufacture ID: 88481    Elastic sleeve slips over stock or rifle. Sewn-on elastic loops keep ammo in place. Rifle model holds 9 cartridges.    Warranty: Limited lifetime warranty.",
"GS43956","http://www.inventorysource.com/images/gs/GS43956.jpg","Buttstock Holder - 9 Rifle Cartr","0",Yes,"<b>Buttstock Holder - Holds 9 Rifle Cartridges</b><br>Manufacture ID: 206<br><br>Holds 9 rifle cartridges","5.95","2.61","Allen Cases","206","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS43956.jpg","0.1","0.00","5.95","026509002062","","","Buttstock Holder - Holds 9 Rifle Cartridges  Manufacture ID: 206    Holds 9 rifle cartridges",
"GS4807","http://www.inventorysource.com/images/gs/GS4807.jpg","Shotgun Butt Stock Shell Holder","7",Yes,"<b>Butt Stock Shell Holder - Shotgun - Open Style Black</b><br>Manufacture ID: 88491<br><br>Elastic sleeve slips over stock or rifle. Sewn-on elastic loops keep ammo in place. Rifle model holds 9 cartridges, shotgun model holds 5 shells.<br><br>Warranty: Limited lifetime warranty.","10.95","6.27","Uncle Mikes","88491","Ammunition Accessories","Cartridge Holders & Belts","http://www.inventorysource.com/images/gs/t_GS4807.jpg","0.2","0.00","10.95","043699884919","","","Butt Stock Shell Holder - Shotgun - Open Style Black  Manufacture ID: 88491    Elastic sleeve slips over stock or rifle. Sewn-on elastic loops keep ammo in place. Rifle model holds 9 cartridges, shotgun model holds 5 shells.    Warranty: Limited lifetime warranty.",
