SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS18551","http://www.inventorysource.com/images/gs/GS18551.jpg","ARC Lite Gathering Pin  8/32R","9",Yes,"<b>ARC Lite Gathering Pin, 8/32 Red - </b><br>Manufacture ID: C-406R<br><br>Closeout Item - New Reduced cost! Quantities are limited.
<br>
<br>Cobra ARC Light Gathering Pins are completely assembled, and ready for installation on any sight whose sight pins are the same threat type.  These pins are to be used only in conjunction with a suitable sight guard. 
<br>
<br>8/32
<br>Red","7.48","1.46","Cobra Archery","C-406R","Archery & Accessories","Sights & Sighting Accessories","http://www.inventorysource.com/images/gs/t_GS18551.jpg","0.05","0.00","7.48","010989406960","","","ARC Lite Gathering Pin, 8/32 Red -   Manufacture ID: C-406R    Closeout Item - New Reduced cost! Quantities are limited.    Cobra ARC Light Gathering Pins are completely assembled, and ready for installation on any sight whose sight pins are the same threat type. These pins are to be used only in conjunction with a suitable sight guard.     8/32  Red",
"GS43633","http://www.inventorysource.com/images/gs/GS43633.jpg","Bull Elk Compound Bow Flight Case","1",Yes,"<b>Bull Elk Compound Bow Flight Case - </b><br>Manufacture ID: BE333<br><br>Low Profile Wheels: sleek low profile wheels for ultimate portability
<br>
<br>Ball Corners: Durable chrome ball corners with a 3 prong six rivet industrial anchor designed to provide protection against the rigors of heavy travel
<br>
<br>Rubber Feet: Industrial grade rubber feet attached with heavy duty bolts and t-nuts so your case doesn't experience to much travel rash.
<br>
<br>Spring Loaded handles: Recessed chrome and spring loaded. These handles flex to a comfortable 90 degree angle for an easy pull on heavy loads. Retractable so they never become an in the way issue for you or that unforgiving baggage handler.
<br>
<br>Industrial hinges: Super secure hinge with constant and even secure latching
<br>
<br>Industrial rivets: Double anchor industrial rivets to secure all hardware for maximum durability.
<br>
<br>Tongue & Groove fit: tongue and groove construction for a heavy duty locking fit. Sealed tight to keep 
<br>travel grunge out.
<br>
<br>Case Construction: structurally rugged, strong & built to resist the punishment of travel.
<br>
