SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS33258","http://www.inventorysource.com/images/gs/GS33258.jpg","Acorn Game Bag, XLarge","3",Yes,"<b>Belted Game Bag - Acorn Game Bag, XLarge</b><br>Manufacture ID: 3091058304<br><br>100% cotton canvas with rubberized mesh
<br>- Extra pockets for choke tubes, sunglasses or training transmitter
<br>- Hydration pocket for optional 1.5 liter hydration bladder
<br>- Game bag has blood-proof lining and mesh sides to cool game
<br>- Leather belt with brass buckle
<br>
<br>Belt Sizes:   Extra Large  ( 44""- 49"")<br><br>Warranty: Guaranteed against manufacturer defects.","80.0","54.29","Browning","3091058304","Backpacks","Waistpacks","http://www.inventorysource.com/images/gs/t_GS33258.jpg","2.0","0.00","80.00","023614233930","","","Belted Game Bag - Acorn Game Bag, XLarge  Manufacture ID: 3091058304    100% cotton canvas with rubberized mesh  - Extra pockets for choke tubes, sunglasses or training transmitter  - Hydration pocket for optional 1.5 liter hydration bladder  - Game bag has blood-proof lining and mesh sides to cool game  - Leather belt with brass buckle    Belt Sizes: Extra Large ( 44""- 49"")    Warranty: Guarantee",
"GS37198","http://www.inventorysource.com/images/gs/GS37198.jpg","Lumbar Pack, Day, Heritage Cobalt","16",Yes,"<b>Lumbar Pack - Day, Heritage Cobalt</b><br>Manufacture ID: 06-10003R-04<br><br>For hiking, urban touring or school, the day is the lumbar pack that started it all and it's still a perennial favorite. This classic, sizable lumbar pack delivers all of the features and functionality you've come to expect
<br>
<br>FEATURES 
<br>Removable shoulder strap with a sliding pad
<br>Air mesh foam back panel
<br>Back panel airline ticket pocket
<br>Tuck-away waistbelt
<br>Delta Compression System load adjustment
<br>2 water bottle pockets that accommodate 32 oz water bottles
<br>Elastic rigging
<br>2 compression straps
<br>Strapette compatible
<br>Zippered main compartment
<br>Interior zippered hanging pocket
<br>Bright yellow lining promotes visibility
<br>Zippered front panel pocket
<br>Key clip
<br>Reflective highlights 
<br>YKK zippers
<br>Delta Compression System
<br>Fabric: 420d Velocity nylon body fabric 420d High Density Oxford nylon reinforcements 210d mini rip stop nylon lining 
<br> 
