SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS37427","http://www.inventorysource.com/images/gs/GS37427.jpg","Little Timber Kids +10F","1",Yes,"<b>Kids Sleeping Bags - Lil' Timber +10F</b><br>Manufacture ID: SJ03071A21<br><br>An all time favorite oversized bag for hunters, but down sized to fit the little guy.  Durability is built into the outer shell and comfort is built into the liner.  10*F temperature rating for Spring, Summer and Fall.
<br>
<br>Features:
<br>
<br>Fill:  Slumberloft HQ Insulation
<br>Outer:  10 oz Cotton Duck outer shell
<br>Liner:  100% Yarn Dyed Cotton Flannel
<br>Construction:  Double offset
<br>Other:  Insulated draft tube with anti-snag zipper protection / Easy-grab pull 
<br>Color:  Hunter Brown/Red Plaid
<br>Maximum User Height:  5' 5""
<br>Dimensions:  30""x78""
<br>Fill Weight:  3 lbs 8 oz
<br>Carry Weight:  7 lbs 12 oz
<br>Carry Size:  10""x30"" with 2 compression straps<br><br>Warranty: Slumberjack sleeping bags are warranted by Slumberjack to be free from defects in
material and workmanship for the life of the product.","82.99","52.55","Slumberjack","SJ03071A21","Sleeping Gear","Kids Sleeping Bags","http://www.inventorysource.com/images/gs/t_GS37427.jpg","9.2","0.00","82.99","034179621018","","","Kids Sleeping Bags - Lil' Timber +10F  Manufacture ID: SJ03071A21    An all time favorite oversized bag for hunters, but down sized to fit the little guy. Durability is built into the outer shell and comfort is built into the liner. 10*F temperature rating for Spring, Summer and Fall.    Features:    Fill: Slumberloft HQ Insulation  Outer: 10 oz Cotton Duck outer shell  Liner: 100% Yarn Dyed Cotto",
"GS44232","http://www.inventorysource.com/images/gs/GS44232.jpg","Silver City- Long","25",Yes,"<b>Silver City - Silver City, Long</b><br>Manufacture ID: 2631290<br><br>The ultimate in thin and warm technology, the Silver City weighs in at an incredible 2 pounds 3 ounces!
<br>
<br>Features:
<br>
<br>- Warm single layer quilt construction with floating shell
<br>- Fully adjustable contoured hood
<br>- Differential cut
<br>- Draft tube
<br>- Comfortable
<br>- 210T polyester taffeta liner
<br>- Inside ""stash pocket""
<br>- External pillow pocket
<br>- Trapezoidal foot box
<br>- Tough 210T polyester diamond ripstop shell
<br>- #5, 2-way, self-repairing zipper
<br>- Compression stuff sack included
<br>
<br>Specifications:
<br>
<br>- Zipper Side:  Left
<br>- Size:  87""x34""x22""
<br>- Fill Weight:  1 lb 3 oz
<br>- Carry Weight:  2 lbs 7 oz
<br>- Rated to +30 F","94.9","48.84","Eureka!","2631290","Sleeping Gear","Mummy Sleeping Bags","http://www.inventorysource.com/images/gs/t_GS44232.jpg","2.7","84.90","94.90","083826312908","","","Silver City - Silver City, Long  Manufacture ID: 2631290    The ultimate in thin and warm technology, the Silver City weighs in at an incredible 2 pounds 3 ounces!    Features:    - Warm single layer quilt construction with floating shell  - Fully adjustable contoured hood  - Differential cut  - Draft tube  - Comfortable  - 210T polyester taffeta liner  - Inside ""stash pocket""  - External pillow p",
"GS44231","http://www.inventorysource.com/images/gs/GS44231.jpg","Casper- Regular","23",Yes,"<b>Casper - Casper, Regular</b><br>Manufacture ID: 2631270<br><br>Engineered to be ultra thin and light, yet keeps you warm even in colder temperatures.
<br>
<br>Features:
<br>
<br>- Warm double layer off-set multi-needle quilt construction
<br>- Fully adjustable contoured hood
<br>- Differential cut
<br>- Draft tube
<br>- Comfortable 210T polyester taffeta liner
