SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS40732","http://www.inventorysource.com/images/gs/GS40732.jpg","Omega Conv Footprint (2007 Model)","0",No,"<b>Footprints - Omega Convertible</b><br>Manufacture ID: 61332<br><br>Provides a perfectly sized protective tarp to utilize beneath Sierra Designs' tents to reduce wear and tear on the tent floor.<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","35.0","21.34","Sierra Designs","61332","Tent Accessories","Footprints","http://www.inventorysource.com/images/gs/t_GS40732.jpg","0.75","0.00","35.00","054003209991","","","Footprints - Omega Convertible  Manufacture ID: 61332    Provides a perfectly sized protective tarp to utilize beneath Sierra Designs' tents to reduce wear and tear on the tent floor.    Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.",
"GS37289","http://www.inventorysource.com/images/gs/GS37289.jpg","7.9mm Fiberglass Pole Kit","13",Yes,"<b>Tent Accessories - 7.9mm Fiberglass Pole Kit</b><br>Manufacture ID: 2661979<br><br>Each kit contains four hollow fiberglass pole sections with a metal ferrule on one end, shockcord, wire leader, two vinyl end caps and instructions.  This kit can be used to repair or replace any tent frame with fiberglass poles in this diameter:  7.9mm<br><br>Warranty: Warranted against manufacturer defects.","25.99","9.18","Eureka!","2661979","Tent Accessories","Poles","http://www.inventorysource.com/images/gs/t_GS37289.jpg","0.6","0.00","25.99","083826619793","","","Tent Accessories - 7.9mm Fiberglass Pole Kit  Manufacture ID: 2661979    Each kit contains four hollow fiberglass pole sections with a metal ferrule on one end, shockcord, wire leader, two vinyl end caps and instructions. This kit can be used to repair or replace any tent frame with fiberglass poles in this diameter: 7.9mm    Warranty: Warranted against manufacturer defects.",
"GS37298","http://www.inventorysource.com/images/gs/GS37298.jpg","Leg Sect- TL4/4XT/4OUTF","13",Yes,"<b>Leg Section - Timberline 4/4XT/4Outfitter</b><br>Manufacture ID: 2662090<br><br>Replacement leg section for any 4-person Timberline.<br><br>Warranty: Warranted against manufacturer defects.","31.99","12.41","Eureka!","2662090","Tent Accessories","Repair Parts & Accessories","http://www.inventorysource.com/images/gs/t_GS37298.jpg","0.6","0.00","31.99","083826620904","","","Leg Section - Timberline 4/4XT/4Outfitter  Manufacture ID: 2662090    Replacement leg section for any 4-person Timberline.    Warranty: Warranted against manufacturer defects.",
"GS39051","http://www.inventorysource.com/images/gs/GS39051.jpg","Taquito","0",No,"<b>Tent Accessories - Taquito</b><br>Manufacture ID: 0962<br><br>The Taquito (small) eliminates the frustration of fitting a tent in a tiny, little bag.  This simple shell has compartments for the poles, fly and tent body that can be rolled up and compressed.<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","25.0","12.5","Sierra Designs","0962","Tent Accessories","Vestibules and Gear Lofts","http://www.inventorysource.com/images/gs/t_GS39051.jpg","0.5","0.00","25.00","054003352253","","","Tent Accessories - Taquito  Manufacture ID: 0962    The Taquito (small) eliminates the frustration of fitting a tent in a tiny, little bag. This simple shell has compartments for the poles, fly and tent body that can be rolled up and compressed.    Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.",
"GS37269","http://www.inventorysource.com/images/gs/GS37269.jpg","Floor Saver/Square Medium","24",Yes,"<b>Tent Accessories - Floor Saver / Square Medium</b><br>Manufacture ID: 2660158<br><br>Placed beneath the tent, a floor saver protects the tent's floor from damage by rocks or roots, keeps the bottom clean for packing, adds an extra layer of protection from water.  Heavy-duty 6mm Polyethylene.  Pre-sized to fit shape of tent floor.<br><br>- Square Medium:  9' x 9'<br><br>Warranty: Warranted against manufacturer defects.","26.5","9.71","Eureka!","2660158","Tent Accessories","Footprints","http://www.inventorysource.com/images/gs/t_GS37269.jpg","1.4","0.00","26.50","083826601583","","","Tent Accessories - Floor Saver / Square Medium  Manufacture ID: 2660158    Placed beneath the tent, a floor saver protects the tent's floor from damage by rocks or roots, keeps the bottom clean for packing, adds an extra layer of protection from water. Heavy-duty 6mm Polyethylene. Pre-sized to fit shape of tent floor.    - Square Medium: 9' x 9'    Warranty: Warranted against manufacturer defects.",
"GS37322","http://www.inventorysource.com/images/gs/GS37322.jpg","Annex/TL-2 & TL-4","22",Yes,"<b>Tent Accessories - Annex/TL-2 & TL-4</b><br>Manufacture ID: 2670500<br><br>Provides 58 sq. ft. of shelter.  Perfect for storing extra gear, cooking in foul weather or escaping hot sun.  Comes with a single pole, or an optional second pole to set up alone.  Fits all the Timberline 2 and 4 models.  2 lbs.<br><br>Warranty: Warranted against manufacturer defects.","59.99","33.41","Eureka!","2670500","Tent Accessories","Vestibules and Gear Lofts","http://www.inventorysource.com/images/gs/t_GS37322.jpg","2.05","0.00","59.99","083826705007","","","Tent Accessories - Annex/TL-2 & TL-4  Manufacture ID: 2670500    Provides 58 sq. ft. of shelter. Perfect for storing extra gear, cooking in foul weather or escaping hot sun. Comes with a single pole, or an optional second pole to set up alone. Fits all the Timberline 2 and 4 models. 2 lbs.    Warranty: Warranted against manufacturer defects.",
"GS37294","http://www.inventorysource.com/images/gs/GS37294.jpg","Fly Rod / Timberline 2,4","8",Yes,"<b>Tent Accessories - Fly Rod</b><br>Manufacture ID: 2662070<br><br>Replacement pole that extends off of the spanner.  Fly attaches into the end to form the hood over the front and back of any 2 or 4-person Timberline.<br><br>Warranty: Warranted against manufacturer defects.","13.99","7.0","Eureka!","2662070","Tent Accessories","Repair Parts & Accessories","http://www.inventorysource.com/images/gs/t_GS37294.jpg","0.55","0.00","13.99","083826620706","","","Tent Accessories - Fly Rod  Manufacture ID: 2662070    Replacement pole that extends off of the spanner. Fly attaches into the end to form the hood over the front and back of any 2 or 4-person Timberline.    Warranty: Warranted against manufacturer defects.",
"GS39058","http://www.inventorysource.com/images/gs/GS39058.jpg","Trail Repair Kit","0",No,"<b>Tent Accessories - Trail Repair Kit</b><br>Manufacture ID: 0964<br><br> Everything to repair a tent, including tent pole repair tubes, self-adhesive nylon fabric patch material, zipper pulls, Seam Sealer and cold-resistant shock cord.<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","19.0","9.5","Sierra Designs","0964","Tent Accessories","Repair Parts & Accessories","http://www.inventorysource.com/images/gs/t_GS39058.jpg","0.15","0.00","19.00","054003352291","","","Tent Accessories - Trail Repair Kit  Manufacture ID: 0964     Everything to repair a tent, including tent pole repair tubes, self-adhesive nylon fabric patch material, zipper pulls, Seam Sealer and cold-resistant shock cord.    Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.",
"GS37272","http://www.inventorysource.com/images/gs/GS37272.jpg","Floor Saver/Square Small","27",Yes,"<b>Tent Accessories - Floor Saver / Square Small</b><br>Manufacture ID: 2660163<br><br>Placed beneath the tent, a floor saver protects the tent's floor from damage by rocks or roots, keeps the bottom clean for packing, adds an extra layer of protection from water.  Heavy-duty 6mm Polyethylene.  Pre-sized to fit shape of tent floor.<br><br>- Square Small:  6'8"" x 6'8""<br><br>Warranty: Warranted against manufacturer defects.","22.0","7.06","Eureka!","2660163","Tent Accessories","Footprints","http://www.inventorysource.com/images/gs/t_GS37272.jpg","0.95","0.00","22.00","083826601637","","","Tent Accessories - Floor Saver / Square Small  Manufacture ID: 2660163    Placed beneath the tent, a floor saver protects the tent's floor from damage by rocks or roots, keeps the bottom clean for packing, adds an extra layer of protection from water. Heavy-duty 6mm Polyethylene. Pre-sized to fit shape of tent floor.    - Square Small: 6'8"" x 6'8""    Warranty: Warranted against manufacturer defect",
"GS40733","http://www.inventorysource.com/images/gs/GS40733.jpg","Alpha Conv Footprint (2007 Model)","0",No,"<b>Footprints - Alpha Convertible</b><br>Manufacture ID: 61333<br><br>Provides a perfectly sized protective tarp to utilize beneath Sierra Designs' tents to reduce wear and tear on the tent floor.<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","40.0","24.39","Sierra Designs","61333","Tent Accessories","Footprints","http://www.inventorysource.com/images/gs/t_GS40733.jpg","0.75","0.00","40.00","054003210003","","","Footprints - Alpha Convertible  Manufacture ID: 61333    Provides a perfectly sized protective tarp to utilize beneath Sierra Designs' tents to reduce wear and tear on the tent floor.    Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.",
