SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS44217","http://www.inventorysource.com/images/gs/GS44217.jpg","Tetragon 7","17",Yes,"<b>Tetragon - Tetragon 7</b><br>Manufacture ID: 2628225<br><br>Features:
<br>
<br>- 2 pole rectangular dome tent
<br>- Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast
<br>- Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather
<br>- Bathtub floor protects against splashing rain
<br>- Hanging gear loft and 2 detachable interior storage pockets keep essential items handy; mesh panels allow for clip-in accessories
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  3
<br>- Doors:  1
<br>- Windows:  2
<br>- Weight:  6 lbs 10 oz
<br>- Area:  49 sq ft
<br>- Center Height:  4' 4","109.99","68.24","Eureka!","2628225","Tents","3 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS44217.jpg","8.15","0.00","109.99","083826282256","","","Tetragon - Tetragon 7  Manufacture ID: 2628225    Features:    - 2 pole rectangular dome tent  - Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast  - Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather  - Bathtub floor protects against splashing rain  - Hanging g",
"GS37217","http://www.inventorysource.com/images/gs/GS37217.jpg","Northern Breeze","55",Yes,"<b>Shelter/Screen Houses - Northern Breeze</b><br>Manufacture ID: 2626300<br><br>This 3 season, 4 pole square umbrella screen house features vertical side walls for maximum usable interior space, plus built-in wind curtains on all four sides that can double as awnings when extra space is needed.  (One set of awning poles is included; additional sets can be purchased separately.)  A picnic table will easily fit inside the screen house or outside beneath the awning.  Ring & pin assembly, durable shockcorded aluminum frame, and Eureka! hub make set up fast and easy.  Two full length doors zip completely open and out of the way for easy entry and exit.
<br>
<br>Features:
<br>
<br>- UV-resistant 150D StormShield polyester fabric used in roof cloth and wind curtains resists tearing
<br>- 50D polyester No-see-um mesh wall panels
<br>- 144 sq. ft. of interior space
<br>- 64.5 sq. ft. of awning-covered exterior space, each side
<br>
<br>Specifications:
<br>
<br>- Floor:  12' x 12' (144 Sq. Ft.)
<br>- Center Height:  8' 5""
<br>- Fly:  N/A
<br>- Floor Type:  N/A***
<br>- Weight:  28 lbs.                                                                                                     
<br>                                                                                                                                  ***Does not include floor***<br><br>Warranty: Warranted against manufacturer defects.","429.9","291.0","Eureka!","2626300","Tents","Screen Houses","http://www.inventorysource.com/images/gs/t_GS37217.jpg","33.45","399.90","429.90","083826263002","","","Shelter/Screen Houses - Northern Breeze  Manufacture ID: 2626300    This 3 season, 4 pole square umbrella screen house features vertical side walls for maximum usable interior space, plus built-in wind curtains on all four sides that can double as awnings when extra space is needed. (One set of awning poles is included; additional sets can be purchased separately.) A picnic table will easily fit i",
"GS40834","http://www.inventorysource.com/images/gs/GS40834.jpg","Tetragon 1610 (3 Room)","22",Yes,"<b>Tetragon - Tetragon 1610</b><br>Manufacture ID: 2628229<br><br>Use as 1 gigantic shelter or 3 separate rooms, each with its own entry!
<br>
<br>Features:
<br>
<br>- 4 pole rectangular dome tent with 2 side rooms
<br>- Durable shockcorded fiberglass frame and ring and pin attachments
<br>- Main twin track side opening door has protective overhead brim and zipper cover
<br>- Hanging gear loft and 2 interior storage pockets keep essential items handy
<br>- 4 vents enhance air circulation for added comfort
<br>- Convenient Storage bag
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  9
<br>- Doors:  3
<br>- Windows:  4
<br>- Weight:  18 lbs 7 oz
<br>- Area:  139.8 Sq. Ft.
<br>- Center Height:  6' 4""<br><br>Warranty: Warranted against manufacturer defects.","279.99","190.71","Eureka!","2628229","Tents","7+ Person Tents","http://www.inventorysource.com/images/gs/t_GS40834.jpg","22.55","0.00","279.99","083826282294","","","Tetragon - Tetragon 1610  Manufacture ID: 2628229    Use as 1 gigantic shelter or 3 separate rooms, each with its own entry!    Features:    - 4 pole rectangular dome tent with 2 side rooms  - Durable shockcorded fiberglass frame and ring and pin attachments  - Main twin track side opening door has protective overhead brim and zipper cover  - Hanging gear loft and 2 interior storage pockets keep e",
"GS37215","http://www.inventorysource.com/images/gs/GS37215.jpg","Condo","11",Yes,"<b>Luxury Family Tents - Condo</b><br>Manufacture ID: 2626156<br><br>Those who demand the ultimate luxury family tent can step into this giant 210 sq. ft. of living space.  Three room, 10'6"" x 20' footprint shelter with 3 doors and 10 windows, sleeps 8-12.  Massive windows fill the walls; patented High/Low venting doors, and zippered mesh ceiling panels maximize air flow for 3 season comfort.
<br>
<br>Features:
<br>
<br>- 75D StormShield Polyester fly improves durability and resistance to UV, acid rain, tearing
<br>- Heavy-duty 210D Nylon Oxford bathtub floor minimizes seams and exposure to ground level water
<br>- Divider panel clips in to create third area for dressing
<br>- Rain curtains with clear window panels zip into fly for total weather protection
<br>- Eureka! Hub, shockcorded eaves, clips, and ring & pin assemblies make set up quick and easy
<br>- Zippered roof panel controls air flow.  Clear UV and cold-resistant window in the fly is positioned over this panel for stargazing
<br>- Durable #10 zippers for trouble-free operation
<br>
<br>Specifications:
<br>
<br>- Weight:  50 lbs
<br>- Sleeping:  10' 6"" x 12'
<br>- Front:  10' 6"" x 7' 4""
<br>- Overall:  10' 6"" x 20'
<br>- Height:  8' 6""
<br>
<br>You will need 2 Square Medium floor savers for this tent.<br><br>Warranty: Warranted against manufacturer defects.","909.9","708.95","Eureka!","2626156","Tents","7+ Person Tents","http://www.inventorysource.com/images/gs/t_GS37215.jpg","70.0","879.90","909.90","083826261565","","","Luxury Family Tents - Condo  Manufacture ID: 2626156    Those who demand the ultimate luxury family tent can step into this giant 210 sq. ft. of living space. Three room, 10'6"" x 20' footprint shelter with 3 doors and 10 windows, sleeps 8-12. Massive windows fill the walls; patented High/Low venting doors, and zippered mesh ceiling panels maximize air flow for 3 season comfort.    Features:    - 7",
"GS44216","http://www.inventorysource.com/images/gs/GS44216.jpg","Tetragon 5","8",Yes,"<b>Tetragon - Tetragon 5</b><br>Manufacture ID: 2628224<br><br>Features:
<br>
<br>- 2 pole rectangular dome tent
<br>- Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast
<br>- Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather
<br>- Bathtub floor protects against splashing rain
<br>- Hanging gear loft and 2 detachable interior storage pockets keep essential items handy; mesh panels allow for clip-in accessories
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  2
<br>- Doors:  1
<br>- Windows:  2
<br>- Weight:  5 lbs 3 oz
<br>- Area:  35 sq ft
